iter	Passed	Remaining
812	2708	622
813	2711	619
814	2714	616
815	2718	612
816	2721	609
817	2724	606
818	2728	603
819	2732	599
820	2735	596
821	2738	593
822	2742	589
823	2745	586
824	2748	583
825	2752	579
826	2755	576
827	2759	573
828	2762	569
829	2765	566
830	2769	563
831	2772	559
832	2776	556
833	2779	553
834	2782	549
835	2786	546
836	2789	543
837	2793	539
838	2796	536
839	2799	533
840	2803	530
841	2806	526
842	2810	523
843	2813	520
844	2816	516
845	2820	513
846	2823	510
847	2826	506
848	2830	503
849	2833	500
850	2837	496
851	2840	493
852	2844	490
853	2847	486
854	2850	483
855	2854	480
856	2857	476
857	2860	473
858	2864	470
859	2868	466
860	2871	463
861	2875	460
862	2878	456
863	2881	453
864	2885	450
865	2888	447
866	2892	443
867	2896	440
868	2899	437
869	2903	433
870	2906	430
871	2910	427
872	2913	423
873	2917	420
874	2920	417
875	2923	413
876	2927	410
877	2930	407
878	2933	403
879	2937	400
880	2940	397
881	2944	393
882	2947	390
883	2950	387
884	2954	383
885	2957	380
886	2961	377
887	2964	373
888	2967	370
889	2970	367
890	2974	363
891	2977	360
892	2980	357
893	2984	353
894	2987	350
895	2991	347
896	2994	343
897	2998	340
898	3001	337
899	3004	333
900	3008	330
901	3012	327
902	3015	323
903	3018	320
904	3022	317
905	3025	313
906	3028	310
907	3032	307
908	3035	303
909	3038	300
910	3042	297
911	3045	293
912	3049	290
913	3052	287
914	3055	283
915	3058	280
916	3062	277
917	3065	273
918	3068	270
919	3072	267
920	3075	263
921	3078	260
922	3082	257
923	3085	253
924	3089	250
925	3092	247
926	3096	243
927	3099	240
928	3102	237
929	3105	233
930	3109	230
931	3112	227
932	3115	223
933	3119	220
934	3122	217
935	3126	213
936	3129	210
937	3132	207
938	3136	203
939	3139	200
940	3143	197
941	3147	193
942	3150	190
943	3153	187
944	3156	183
945	3160	180
946	3163	177
947	3167	173
948	3170	170
949	3173	167
950	3177	163
951	3180	160
952	3183	157
953	3187	153
954	3190	150
955	3194	147
956	3197	143
957	3201	140
958	3205	137
959	3208	133
960	3212	130
961	3215	127
962	3219	123
963	3223	120
964	3227	117
965	3230	113
966	3234	110
967	3238	107
968	3241	103
969	3245	100
970	3249	97
971	3253	93
972	3256	90
973	3260	87
974	3264	83
975	3267	80
976	3271	77
977	3275	73
978	3279	70
979	3282	66
980	3286	63
981	3290	60
